tract_geoid,NAME,state_fips,total_population,median_household_income
48029120702,Census Tract 1207.02; Bexar County; Texas,48,4959,81110
48029120800,Census Tract 1208; Bexar County; Texas,48,6677,126293
48029120901,Census Tract 1209.01; Bexar County; Texas,48,2380,50469
48029120902,Census Tract 1209.02; Bexar County; Texas,48,6454,52291
48029121000,Census Tract 1210; Bexar County; Texas,48,6541,56940
48029121110,Census Tract 1211.10; Bexar County; Texas,48,4747,74583
48029121111,Census Tract 1211.11; Bexar County; Texas,48,6993,78538
48029121112,Census Tract 1211.12; Bexar County; Texas,48,4093,52110
48029121115,Census Tract 1211.15; Bexar County; Texas,48,5053,92309
48029121116,Census Tract 1211.16; Bexar County; Texas,48,4902,68715
48029121117,Census Tract 1211.17; Bexar County; Texas,48,4850,76791
48029121118,Census Tract 1211.18; Bexar County; Texas,48,5582,72976
48029121119,Census Tract 1211.19; Bexar County; Texas,48,5326,77814
48029121120,Census Tract 1211.20; Bexar County; Texas,48,4695,74695
48029121121,Census Tract 1211.21; Bexar County; Texas,48,3155,126406
48029121122,Census Tract 1211.22; Bexar County; Texas,48,5144,106985
48029121123,Census Tract 1211.23; Bexar County; Texas,48,5204,60735
48029121124,Census Tract 1211.24; Bexar County; Texas,48,2238,116563
48029121203,Census Tract 1212.03; Bexar County; Texas,48,4202,44754
48029121204,Census Tract 1212.04; Bexar County; Texas,48,7281,46809
48029121205,Census Tract 1212.05; Bexar County; Texas,48,4182,52820
48029121206,Census Tract 1212.06; Bexar County; Texas,48,7383,69911
48029121300,Census Tract 1213; Bexar County; Texas,48,6458,82545
48029121402,Census Tract 1214.02; Bexar County; Texas,48,9340,74275
48029121403,Census Tract 1214.03; Bexar County; Texas,48,5476,52190
48029121404,Census Tract 1214.04; Bexar County; Texas,48,5075,32685
48029121501,Census Tract 1215.01; Bexar County; Texas,48,8989,86250
48029121504,Census Tract 1215.04; Bexar County; Texas,48,7975,70091
48029121505,Census Tract 1215.05; Bexar County; Texas,48,5315,70821
48029121506,Census Tract 1215.06; Bexar County; Texas,48,5094,63381
48029121507,Census Tract 1215.07; Bexar County; Texas,48,5321,73906
48029121508,Census Tract 1215.08; Bexar County; Texas,48,4739,58523
48029121601,Census Tract 1216.01; Bexar County; Texas,48,4570,53000
48029121604,Census Tract 1216.04; Bexar County; Texas,48,9364,89122
48029121605,Census Tract 1216.05; Bexar County; Texas,48,2094,74330
48029121606,Census Tract 1216.06; Bexar County; Texas,48,4094,58521
48029121701,Census Tract 1217.01; Bexar County; Texas,48,4939,73913
48029121702,Census Tract 1217.02; Bexar County; Texas,48,7175,75625
48029121802,Census Tract 1218.02; Bexar County; Texas,48,10163,76536
48029121803,Census Tract 1218.03; Bexar County; Texas,48,4680,80098
48029121804,Census Tract 1218.04; Bexar County; Texas,48,6441,59379
48029121808,Census Tract 1218.08; Bexar County; Texas,48,2600,81579
48029121809,Census Tract 1218.09; Bexar County; Texas,48,4877,78630
48029121810,Census Tract 1218.10; Bexar County; Texas,48,4501,99383
48029121811,Census Tract 1218.11; Bexar County; Texas,48,5817,82529
48029121812,Census Tract 1218.12; Bexar County; Texas,48,5805,91250
48029121813,Census Tract 1218.13; Bexar County; Texas,48,1541,89821
