tract_geoid,applications,ppfvl_sum,ppfvl_mean,tsa_eligible_rate,owner_rate,renter_rate
12011010308,1,0.0,0.0,0.0,1.0,0.0
12011010401,1,0.0,,0.0,1.0,0.0
12011010405,2,0.0,0.0,0.5,0.0,1.0
12011010406,1,0.0,,1.0,1.0,0.0
12011010407,8,0.0,0.0,0.625,0.5,0.5
12011010503,3,0.0,,1.0,1.0,0.0
12011010504,3,0.0,,0.3333333333333333,1.0,0.0
12011010601,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
12011010603,3,0.0,,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011010604,2,0.0,0.0,0.0,0.5,0.5
12011010605,1,0.0,,1.0,1.0,0.0
12011010606,5,0.0,0.0,0.4,0.4,0.6
12011010607,2,0.0,,0.5,0.0,1.0
12011010609,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
12011010610,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011010611,1,0.0,,0.0,0.0,1.0
12011010612,2,0.0,,0.5,0.5,0.5
12011010701,5,0.0,0.0,0.2,0.2,0.8
12011010702,13,0.0,0.0,0.3076923076923077,0.5384615384615384,0.46153846153846156
12011010800,8,0.0,0.0,0.375,0.625,0.375
12011010902,1,0.0,,0.0,0.0,1.0
12011011000,2,0.0,,0.5,1.0,0.0
12011020101,6,341.7,113.89999999999999,0.3333333333333333,0.3333333333333333,0.6666666666666666
12011020103,4,0.0,0.0,0.5,0.5,0.5
12011020104,4,0.0,,0.0,0.5,0.5
12011020204,5,0.0,0.0,0.2,0.4,0.6
12011020205,2,0.0,0.0,0.0,0.5,0.5
12011020206,4,0.0,0.0,0.25,0.25,0.75
12011020207,1,0.0,,0.0,1.0,0.0
12011020209,5,0.0,0.0,0.2,0.6,0.4
12011020210,6,0.0,0.0,0.16666666666666666,0.8333333333333334,0.16666666666666666
12011020211,5,0.0,0.0,0.2,1.0,0.0
12011020212,2,0.0,0.0,0.5,1.0,0.0
12011020302,6,341.7,113.89999999999999,0.5,0.0,1.0
12011020308,9,0.0,0.0,0.4444444444444444,0.4444444444444444,0.5555555555555556
12011020309,6,0.0,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333
12011020311,1,0.0,,0.0,1.0,0.0
12011020312,3,0.0,,0.6666666666666666,0.3333333333333333,0.6666666666666666
12011020313,3,0.0,0.0,0.6666666666666666,1.0,0.0
12011020315,1,0.0,0.0,1.0,0.0,1.0
12011020316,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
12011020317,1,0.0,,0.0,0.0,1.0
12011020318,11,341.7,113.89999999999999,0.36363636363636365,0.36363636363636365,0.6363636363636364
12011020319,1,0.0,,0.0,0.0,1.0
12011020320,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
12011020323,2,0.0,,0.0,0.5,0.5
12011020324,2,0.0,0.0,0.0,0.0,1.0
12011020325,1,0.0,,1.0,1.0,0.0
12011020326,4,0.0,,0.0,0.0,1.0
12011020404,11,0.0,0.0,0.18181818181818182,0.5454545454545454,0.45454545454545453
12011020405,6,0.0,0.0,0.16666666666666666,0.5,0.5
12011020406,9,0.0,0.0,0.3333333333333333,1.0,0.0
12011020407,10,0.0,0.0,0.4,0.6,0.4
12011020409,6,0.0,0.0,0.16666666666666666,0.5,0.5
12011020411,6,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666
12011020412,1,341.7,341.7,1.0,0.0,1.0
12011020413,11,0.0,0.0,0.5454545454545454,0.09090909090909091,0.9090909090909091
12011020414,8,0.0,0.0,0.375,0.5,0.5
12011020415,6,0.0,,0.5,0.5,0.5
12011020501,3,0.0,0.0,0.6666666666666666,0.0,1.0
12011020502,8,0.0,0.0,0.125,0.25,0.75
12011030100,3,0.0,,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011030201,2,0.0,,0.5,0.5,0.5
12011030202,3,0.0,0.0,0.6666666666666666,0.0,1.0
12011030203,1,0.0,,0.0,1.0,0.0
12011030301,2,0.0,0.0,0.0,0.0,1.0
12011030302,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.8333333333333334
12011030401,6,341.7,341.7,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011030402,4,341.7,341.7,0.0,0.5,0.5
12011030500,4,0.0,0.0,0.25,0.5,0.5
12011030600,12,683.4,75.93333333333334,0.0,0.3333333333333333,0.6666666666666666
12011030702,2,0.0,0.0,0.0,0.5,0.5
12011030703,2,0.0,,0.5,0.0,1.0
12011030704,1,0.0,0.0,0.0,1.0,0.0
12011030801,8,341.7,48.81428571428571,0.125,0.0,1.0
12011030802,4,0.0,0.0,0.0,0.5,0.5
12011030902,1,0.0,,1.0,0.0,1.0
12011030903,4,0.0,,0.5,0.5,0.5
12011030904,3,0.0,0.0,0.3333333333333333,1.0,0.0
12011031001,3,341.7,341.7,0.6666666666666666,0.3333333333333333,0.6666666666666666
12011031002,8,0.0,0.0,0.25,0.625,0.375
12011031101,3,0.0,0.0,0.6666666666666666,0.0,1.0
12011031102,3,0.0,,0.3333333333333333,0.3333333333333333,0.6666666666666666
12011031202,3,0.0,,0.0,0.3333333333333333,0.6666666666666666
12011031205,1,0.0,,0.0,1.0,0.0
12011040203,3,0.0,,0.3333333333333333,0.0,1.0
12011040205,3,0.0,0.0,0.3333333333333333,0.0,1.0
12011040206,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011040300,4,341.7,113.89999999999999,0.25,0.25,0.75
12011040401,1,0.0,,0.0,1.0,0.0
12011040402,1,0.0,0.0,0.0,0.0,1.0
12011040504,1,0.0,0.0,0.0,0.0,1.0
12011040601,5,0.0,0.0,0.4,0.4,0.6
12011040602,2,0.0,0.0,0.5,0.5,0.5
12011040701,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011040702,4,0.0,0.0,0.0,0.25,0.75
12011040801,9,0.0,0.0,0.4444444444444444,0.3333333333333333,0.6666666666666666
12011040802,6,0.0,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666
12011040901,6,1927.8,642.6,0.3333333333333333,0.16666666666666666,0.8333333333333334
12011040902,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
12011041000,8,0.0,0.0,0.375,0.375,0.625
12011041100,10,0.0,0.0,0.3,0.6,0.4
12011041200,7,2269.5,567.375,0.2857142857142857,0.42857142857142855,0.5714285714285714
12011041300,10,0.0,0.0,0.3,0.3,0.7
12011041400,7,1927.8,481.95,0.2857142857142857,0.2857142857142857,0.7142857142857143
12011041500,5,0.0,0.0,0.2,0.0,1.0
12011041600,10,0.0,0.0,0.3,0.2,0.8
12011041700,5,0.0,0.0,0.6,0.0,1.0
12011041801,2,0.0,,1.0,0.5,0.5
12011041802,2,0.0,0.0,0.0,0.0,1.0
12011041900,3,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666
12011042000,3,0.0,,0.6666666666666666,0.3333333333333333,0.6666666666666666
12011042100,1,0.0,,0.0,0.0,1.0
12011042200,1,1927.8,1927.8,1.0,1.0,0.0
12011042301,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
12011042302,1,0.0,0.0,0.0,0.0,1.0
12011042500,3,0.0,0.0,0.3333333333333333,0.0,1.0
12011042600,9,0.0,0.0,0.1111111111111111,0.2222222222222222,0.7777777777777778
12011042700,3,0.0,,0.0,0.0,1.0
12011042800,4,1927.8,1927.8,0.0,0.75,0.25
12011042900,11,0.0,0.0,0.36363636363636365,0.36363636363636365,0.6363636363636364
12011043002,7,0.0,0.0,0.2857142857142857,0.14285714285714285,0.8571428571428571
12011043100,5,0.0,0.0,0.2,0.6,0.4
12011043301,1,0.0,,1.0,1.0,0.0
12011050100,3,0.0,,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011050204,4,0.0,0.0,0.75,0.5,0.5
12011050206,2,341.7,170.85,0.5,0.0,1.0
12011050207,11,0.0,0.0,0.2727272727272727,0.36363636363636365,0.6363636363636364
12011050208,5,0.0,0.0,0.0,0.4,0.6
12011050301,10,0.0,0.0,0.2,0.5,0.5
12011050306,7,1927.8,963.9,0.14285714285714285,0.5714285714285714,0.42857142857142855
12011050307,9,0.0,0.0,0.4444444444444444,0.0,1.0
12011050308,2,341.7,341.7,0.0,0.5,0.5
12011050309,2,0.0,0.0,0.0,0.0,1.0
12011050310,9,0.0,0.0,0.5555555555555556,0.6666666666666666,0.3333333333333333
12011050311,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
12011050401,3,0.0,,0.6666666666666666,0.0,1.0
12011050402,8,0.0,0.0,0.375,0.5,0.5
12011050501,3,0.0,,0.6666666666666666,0.6666666666666666,0.3333333333333333
12011050601,3,0.0,,0.6666666666666666,0.3333333333333333,0.6666666666666666
12011050602,2,0.0,0.0,0.5,0.0,1.0
12011050701,5,0.0,0.0,0.0,0.0,1.0
12011050702,5,0.0,0.0,0.4,0.0,1.0
12011050800,7,341.7,85.425,0.14285714285714285,0.5714285714285714,0.42857142857142855
12011050900,2,0.0,0.0,0.5,0.5,0.5
12011051001,5,0.0,0.0,0.0,0.6,0.4
12011051002,1,0.0,,0.0,1.0,0.0
12011060105,9,0.0,0.0,0.4444444444444444,0.4444444444444444,0.5555555555555556
12011060107,1,0.0,,0.0,0.0,1.0
12011060111,4,0.0,0.0,0.0,1.0,0.0
12011060112,5,0.0,0.0,0.4,0.2,0.8
12011060113,8,0.0,0.0,0.375,0.5,0.5
12011060114,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
12011060115,10,0.0,0.0,0.4,0.4,0.6
12011060116,14,0.0,0.0,0.21428571428571427,0.42857142857142855,0.5714285714285714
12011060117,8,0.0,0.0,0.75,0.5,0.5
12011060118,4,0.0,0.0,0.25,0.25,0.75
12011060119,3,0.0,0.0,0.3333333333333333,1.0,0.0
12011060120,7,0.0,0.0,0.5714285714285714,0.2857142857142857,0.7142857142857143
12011060121,3,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333
12011060122,6,0.0,,0.3333333333333333,0.5,0.5
12011060123,5,0.0,,0.4,0.4,0.6
12011060124,6,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
12011060125,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
12011060126,5,0.0,0.0,0.2,0.6,0.4
12011060127,4,0.0,0.0,0.25,0.25,0.75
12011060128,8,0.0,0.0,0.125,0.375,0.625
12011060203,9,0.0,0.0,0.4444444444444444,0.3333333333333333,0.6666666666666666
12011060206,4,0.0,0.0,0.25,0.75,0.25
12011060207,4,0.0,,0.25,0.25,0.75
12011060208,8,0.0,0.0,0.625,0.375,0.625
12011060209,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
12011060210,1,0.0,,0.0,0.0,1.0
12011060211,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011060212,2,0.0,0.0,0.5,0.5,0.5
12011060213,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011060302,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
12011060303,8,683.4,170.85,0.5,0.125,0.875
12011060304,4,0.0,0.0,0.0,0.5,0.5
12011060305,5,0.0,0.0,0.6,0.6,0.4
12011060306,1,0.0,0.0,0.0,1.0,0.0
12011060401,6,0.0,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666
12011060402,8,0.0,0.0,0.25,0.125,0.875
12011060403,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
12011060501,4,0.0,0.0,0.0,0.5,0.5
12011060505,5,0.0,0.0,0.0,0.2,0.8
12011060603,3,0.0,0.0,0.6666666666666666,0.0,1.0
12011060606,5,0.0,,0.4,0.6,0.4
12011060607,3,0.0,,0.6666666666666666,1.0,0.0
12011060608,7,341.7,170.85,0.42857142857142855,0.42857142857142855,0.5714285714285714
12011060609,1,0.0,0.0,1.0,1.0,0.0
12011060700,3,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
12011060801,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011060802,10,0.0,0.0,0.1,0.5,0.5
12011060900,1,0.0,,0.0,0.0,1.0
12011061001,6,341.7,85.425,0.3333333333333333,0.5,0.5
12011061002,4,341.7,170.85,0.5,0.5,0.5
12011061100,10,341.7,68.34,0.4,0.1,0.9
12011070101,15,0.0,0.0,0.3333333333333333,0.2,0.8
12011070102,2,0.0,0.0,0.5,0.5,0.5
12011070204,4,0.0,0.0,0.25,0.25,0.75
12011070205,8,0.0,0.0,0.5,0.375,0.625
12011070207,2,0.0,,0.5,0.0,1.0
12011070208,6,0.0,,0.6666666666666666,0.8333333333333334,0.16666666666666666
12011070210,2,0.0,,0.0,0.5,0.5
12011070211,4,0.0,0.0,0.5,1.0,0.0
12011070304,3,0.0,,0.3333333333333333,0.6666666666666666,0.3333333333333333
12011070305,7,0.0,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285
12011070306,4,0.0,,0.25,0.75,0.25
12011070310,2,0.0,0.0,0.0,0.5,0.5
12011070311,2,0.0,,0.5,0.5,0.5
12011070312,1,0.0,,0.0,1.0,0.0
12011070313,2,0.0,,0.0,0.0,1.0
12011070314,6,0.0,,0.3333333333333333,0.5,0.5
12011070315,3,0.0,0.0,0.0,1.0,0.0
12011070316,4,0.0,0.0,0.75,1.0,0.0
12011070318,4,0.0,0.0,0.5,1.0,0.0
12011070319,1,0.0,,0.0,1.0,0.0
12011070321,4,0.0,0.0,0.25,1.0,0.0
12011070322,4,0.0,,0.75,0.0,1.0
12011070401,2,0.0,,0.5,1.0,0.0
12011070402,1,0.0,0.0,1.0,1.0,0.0
12011070404,1,0.0,,0.0,1.0,0.0
12011070405,1,0.0,,0.0,1.0,0.0
12011070501,2,0.0,0.0,0.5,0.5,0.5
12011070502,7,683.4,341.7,0.42857142857142855,0.42857142857142855,0.5714285714285714
12011070601,3,0.0,,0.6666666666666666,0.3333333333333333,0.6666666666666666
12011070602,5,0.0,,0.2,0.0,1.0
12011080101,5,0.0,0.0,0.4,0.0,1.0
12011080102,6,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666
12011080200,3,0.0,0.0,0.6666666666666666,1.0,0.0
12011080403,4,0.0,0.0,0.25,0.75,0.25
12011080405,4,0.0,0.0,0.5,0.25,0.75
12011080406,6,0.0,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666
12011080500,7,1927.8,642.6,0.5714285714285714,0.42857142857142855,0.5714285714285714
12011090101,3,341.7,170.85,0.3333333333333333,0.0,1.0
12011090102,1,0.0,,0.0,1.0,0.0
12011090200,1,0.0,,0.0,0.0,1.0
12011090301,2,0.0,,0.5,0.0,1.0
12011090302,4,0.0,0.0,0.25,0.25,0.75
12011090401,6,341.7,113.89999999999999,0.5,0.0,1.0
12011090403,4,0.0,0.0,0.5,0.0,1.0
12011090404,6,341.7,85.425,0.5,0.0,1.0
12011090502,2,0.0,,0.0,0.0,1.0
12011090503,2,0.0,,0.5,0.5,0.5
12011090504,1,0.0,,1.0,1.0,0.0
12011090601,2,0.0,0.0,0.5,0.5,0.5
12011090602,9,0.0,0.0,0.2222222222222222,0.6666666666666666,0.3333333333333333
12011090700,12,0.0,0.0,0.3333333333333333,0.5833333333333334,0.4166666666666667
12011090801,5,0.0,0.0,0.2,0.6,0.4
12011090802,1,0.0,0.0,0.0,0.0,1.0
12011090900,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
12011091000,4,0.0,,0.5,1.0,0.0
