GEO_ID,NAME,B01003_001E,B19013_001E,state,county,tract,state_fips
1400000US48027021602,Census Tract 216.02; Bell County; Texas,3058,31205,48,027,021602,48
1400000US48027021701,Census Tract 217.01; Bell County; Texas,6485,92350,48,027,021701,48
1400000US48027021702,Census Tract 217.02; Bell County; Texas,4057,61475,48,027,021702,48
1400000US48027021801,Census Tract 218.01; Bell County; Texas,5667,57131,48,027,021801,48
1400000US48027021802,Census Tract 218.02; Bell County; Texas,5604,111297,48,027,021802,48
1400000US48027021901,Census Tract 219.01; Bell County; Texas,3727,47051,48,027,021901,48
1400000US48027021905,Census Tract 219.05; Bell County; Texas,3803,89838,48,027,021905,48
1400000US48027021906,Census Tract 219.06; Bell County; Texas,4926,105982,48,027,021906,48
1400000US48027021907,Census Tract 219.07; Bell County; Texas,6710,67292,48,027,021907,48
1400000US48027021908,Census Tract 219.08; Bell County; Texas,6648,91711,48,027,021908,48
1400000US48027022001,Census Tract 220.01; Bell County; Texas,4640,38046,48,027,022001,48
1400000US48027022002,Census Tract 220.02; Bell County; Texas,5297,85000,48,027,022002,48
1400000US48027022101,Census Tract 221.01; Bell County; Texas,4006,47756,48,027,022101,48
1400000US48027022103,Census Tract 221.03; Bell County; Texas,5953,64239,48,027,022103,48
1400000US48027022104,Census Tract 221.04; Bell County; Texas,4282,44247,48,027,022104,48
1400000US48027022105,Census Tract 221.05; Bell County; Texas,2195,49250,48,027,022105,48
1400000US48027022200,Census Tract 222; Bell County; Texas,4603,52186,48,027,022200,48
1400000US48027022300,Census Tract 223; Bell County; Texas,4042,35990,48,027,022300,48
1400000US48027022401,Census Tract 224.01; Bell County; Texas,6151,49013,48,027,022401,48
1400000US48027022402,Census Tract 224.02; Bell County; Texas,7868,108966,48,027,022402,48
1400000US48027022403,Census Tract 224.03; Bell County; Texas,4557,69658,48,027,022403,48
1400000US48027022405,Census Tract 224.05; Bell County; Texas,2477,52395,48,027,022405,48
1400000US48027022406,Census Tract 224.06; Bell County; Texas,4414,79701,48,027,022406,48
1400000US48027022407,Census Tract 224.07; Bell County; Texas,3537,78201,48,027,022407,48
1400000US48027022501,Census Tract 225.01; Bell County; Texas,3401,43427,48,027,022501,48
1400000US48027022503,Census Tract 225.03; Bell County; Texas,4408,58809,48,027,022503,48
1400000US48027022504,Census Tract 225.04; Bell County; Texas,7909,87851,48,027,022504,48
1400000US48027022600,Census Tract 226; Bell County; Texas,4261,34974,48,027,022600,48
1400000US48027022801,Census Tract 228.01; Bell County; Texas,2413,30994,48,027,022801,48
