tract_geoid,disasterNumber,applications,ppfvl_sum,ppfvl_mean,tsa_eligible_rate,owner_rate,renter_rate,storm_name
12009071335,4337,5,341.7,341.7,0.6,0.8,0.2,Irma
12009071336,4337,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,Irma
12009071337,4337,8,0.0,0.0,0.5,0.75,0.25,Irma
12009071338,4337,5,0.0,0.0,0.4,1.0,0.0,Irma
12009071339,4337,3,0.0,,0.0,1.0,0.0,Irma
12009071340,4337,12,0.0,,0.4166666666666667,0.5833333333333334,0.4166666666666667,Irma
12009071400,4337,6,1025.1,341.7,0.8333333333333334,0.0,1.0,Irma
12009071500,4337,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,Irma
12009071600,4337,4,0.0,0.0,0.0,0.5,0.5,Irma
12011010102,4337,2,0.0,,0.0,0.0,1.0,Irma
12011010104,4337,2,0.0,0.0,0.5,0.0,1.0,Irma
12011010200,4337,4,0.0,0.0,0.5,0.5,0.5,Irma
12011010304,4337,4,0.0,0.0,0.5,0.0,1.0,Irma
12011010305,4337,4,341.7,170.85,0.5,0.0,1.0,Irma
12011010306,4337,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,Irma
12011010307,4337,6,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666,Irma
12011010308,4337,1,0.0,0.0,0.0,1.0,0.0,Irma
12011010401,4337,1,0.0,,0.0,1.0,0.0,Irma
12011010405,4337,2,0.0,0.0,0.5,0.0,1.0,Irma
12011010406,4337,1,0.0,,1.0,1.0,0.0,Irma
12011010407,4337,8,0.0,0.0,0.625,0.5,0.5,Irma
12011010503,4337,3,0.0,,1.0,1.0,0.0,Irma
12011010504,4337,3,0.0,,0.3333333333333333,1.0,0.0,Irma
12011010601,4337,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,Irma
12011010603,4337,3,0.0,,0.3333333333333333,0.6666666666666666,0.3333333333333333,Irma
12011010604,4337,2,0.0,0.0,0.0,0.5,0.5,Irma
12011010605,4337,1,0.0,,1.0,1.0,0.0,Irma
12011010606,4337,5,0.0,0.0,0.4,0.4,0.6,Irma
12011010607,4337,2,0.0,,0.5,0.0,1.0,Irma
12011010609,4337,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,Irma
12011010610,4337,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,Irma
12011010611,4337,1,0.0,,0.0,0.0,1.0,Irma
12011010612,4337,2,0.0,,0.5,0.5,0.5,Irma
12011010701,4337,5,0.0,0.0,0.2,0.2,0.8,Irma
12011010702,4337,13,0.0,0.0,0.3076923076923077,0.5384615384615384,0.4615384615384615,Irma
12011010800,4337,8,0.0,0.0,0.375,0.625,0.375,Irma
12011010902,4337,1,0.0,,0.0,0.0,1.0,Irma
12011011000,4337,2,0.0,,0.5,1.0,0.0,Irma
12011020101,4337,6,341.7,113.9,0.3333333333333333,0.3333333333333333,0.6666666666666666,Irma
12011020103,4337,4,0.0,0.0,0.5,0.5,0.5,Irma
12011020104,4337,4,0.0,,0.0,0.5,0.5,Irma
12011020204,4337,5,0.0,0.0,0.2,0.4,0.6,Irma
12011020205,4337,2,0.0,0.0,0.0,0.5,0.5,Irma
12011020206,4337,4,0.0,0.0,0.25,0.25,0.75,Irma
12011020207,4337,1,0.0,,0.0,1.0,0.0,Irma
12011020209,4337,5,0.0,0.0,0.2,0.6,0.4,Irma
